project_id,legacy_ocms_code,as_of_date,pre_paimana_observation_months,pre_paimana_schedule_revision_count,pre_paimana_cost_revision_count,pre_paimana_initial_cost,pre_paimana_latest_known_cost,pre_paimana_max_cost_escalation_pct,pre_paimana_initial_doc,pre_paimana_latest_doc,pre_paimana_max_schedule_slippage_months,max_source_date
602223,N18000249,2025-04,8,0,0,18000249.0,18000249.0,0.0,2018-12,2018-12,0.0,2024-03
602525,N18000172,2025-04,9,0,2,1000.0,342.0,0.0,2020-04,2020-04,0.0,2024-03
602532,N18000278,2025-04,3,0,0,18000278.0,18000278.0,0.0,2024-08,2024-08,0.0,2024-03
602535,N18000324,2025-04,3,0,2,18000324.0,18000324.0,0.0,2026-02,2026-02,0.0,2024-03
602579,N18000194,2025-04,9,1,0,1320.0,1320.0,0.0,2016-12,2024-01,85.0,2024-03
602582,N18000291,2025-04,3,0,2,66.0,436.0,563.6363636363636,2025-11,2025-11,0.0,2024-03
602593,N18000279,2025-04,4,0,2,18000279.0,18000279.0,0.0,2026-01,2026-01,0.0,2024-03
602792,N22000572,2025-04,2,0,0,67.2,67.2,0.0,2024-10,2024-10,0.0,2024-03
602797,N22000631,2025-04,0,0,0,,,0.0,,,0.0,
602961,N18000364,2025-04,2,0,1,2.0,379.0,18850.0,2027-05,2027-05,0.0,2024-03
603293,N18000367,2025-04,2,1,1,18000367.0,377.0,0.0,2024-10,2019-02,0.0,2024-03
604791,N16000379,2025-04,5,0,1,16000379.0,6.0,0.0,2024-10,2024-10,0.0,2024-03
604795,N16000434,2025-04,3,0,0,9.0,9.0,0.0,2025-06,2025-06,0.0,2024-03
604833,N16000503,2025-04,1,0,0,296.0,296.0,0.0,2025-05,2025-05,0.0,2024-03
604852,N16000506,2025-04,1,0,0,16000506.0,16000506.0,0.0,2026-06,2026-06,0.0,2024-03
604853,N16000375,2025-04,5,0,2,16000375.0,16000375.0,0.0,2022-12,2022-12,0.0,2024-03
604859,N16000396,2025-04,4,0,0,16000396.0,16000396.0,0.0,2024-01,2024-01,0.0,2024-03
604863,N16000331,2025-04,6,0,1,16000331.0,338.0,0.0,2020-02,2020-02,0.0,2024-03
605155,N18000363,2025-04,2,0,0,18000363.0,18000363.0,0.0,2026-11,2026-11,0.0,2024-03
605156,N18000326,2025-04,3,0,1,18000326.0,348.0,0.0,2024-05,2024-05,0.0,2024-03
605292,N28000142,2025-04,4,0,0,28000142.0,28000142.0,0.0,2022-05,2022-05,0.0,2024-03
606431,N28000140,2025-04,5,1,1,28000140.0,174.0,0.0,2021-03,2022-09,18.0,2024-03
60679,N24002177,2025-04,0,0,0,,,0.0,,,0.0,
607701,N16000414,2025-04,3,0,0,1.2,1.2,0.0,2023-10,2023-10,0.0,2024-03
607709,N18000250,2025-04,8,0,0,6.0,6.0,0.0,2018-12,2018-12,0.0,2024-03
