ablation,feature,importance,rank
F_Conservative,state_median_progress_t,0.008248,28
F_Conservative,largest_cost_revision_pct_to_date_t,0.00783,29
F_Conservative,cost_escalation_pct_t,0.007045,30
F_Conservative,monthly_expenditure_delta_t,0.005471,31
F_Conservative,cumulative_expenditure_lag3,0.005392,32
F_Conservative,expenditure_change_1m_t,0.004192,33
F_Conservative,expenditure_growth_rate_t,0.004076,34
F_Conservative,expenditure_velocity_3m_t,0.003852,35
F_Conservative,longest_stagnation_to_date_t,0.003852,35
F_Conservative,expenditure_change_3m_t,0.003776,36
F_Conservative,consecutive_observation_count_t,0.003114,37
F_Conservative,has_cost_revision_t,0.003092,38
F_Conservative,reporting_structure_version_t_v2_focused_cohort,0.002991,39
F_Conservative,months_since_last_cost_revision_t,0.002944,40
F_Conservative,progress_change_last_3m_t,0.002923,41
F_Conservative,progress_change_2m_t,0.002901,42
F_Conservative,progress_velocity_3m_t,0.002899,43
F_Conservative,progress_change_3m_t,0.002871,44
F_Conservative,focused_cohort_indicator_t,0.002867,45
F_Conservative,progress_velocity_1m_t,0.002421,46
F_Conservative,months_since_first_observed_t,0.002372,47
F_Conservative,progress_change_1m_t,0.002349,48
F_Conservative,months_observed_to_date_t,0.002218,49
F_Conservative,reporting_structure_version_t_v1_initial,0.002138,50
F_Conservative,months_since_last_progress_increase_t,0.001992,51
F_Conservative,project_size_category_Medium (150-500Cr),0.001915,52
F_Conservative,cost_revision_count_to_date_t,0.0014,53
F_Conservative,project_size_category_Mega (>1000Cr),0.00133,54
F_Conservative,project_size_category_Large (500-1000Cr),0.001061,55
F_Conservative,progress_velocity_6m_t,0.00105,56
F_Conservative,expenditure_velocity_6m_t,0.001018,57
F_Conservative,cost_reduction_pct_as_of_t,0.001018,57
F_Conservative,table_source_t_Table 4: All Ongoing Projects,0.001001,58
F_Conservative,table_source_t_Table 7: All Ongoing Projects,0.000803,59
F_Conservative,missing_expenditure_t,0.00074,60
F_Conservative,table_source_t_Table 6: All Ongoing Projects,0.000718,61
F_Conservative,stagnant_2m_t,0.000598,62
F_Conservative,missing_physical_progress_t,0.000443,63
F_Conservative,months_since_last_observation_t,0.000399,64
F_Conservative,stagnant_3m_t,0.000391,65
F_Conservative,project_size_category_Small (<150Cr),0.000292,66
F_Conservative,observation_coverage_ratio_t,0.000218,67
F_Conservative,observation_gap_flag_t,0.000182,68
F_Conservative,stagnant_6m_t,0.000103,69
F_Conservative,negative_expenditure_delta_flag_t,1.6e-05,70
F_Conservative,missing_revised_cost_t,1.4e-05,71
F_Conservative,project_size_category_Unknown,1.4e-05,71
